name,text
Racoon,아니 여긴 어떻게?
Star,하하! 너구리를 따라잡았구리!
Star,네 도술의 흔적을 쫓아왔지!
Star,아주 신봉방통하더라.
Star,덕분에 신기한 경험을 했다!
Coco,Mung
Racoon,평범한 동물이 어떻게..? 젠장…
Racoon,저런 녀석들 편하라고 익힌 도술이 아닌데…
Star,자! 어쨌든! 화분 돌려줘 이제!
Coco,Mung
Racoon,후… 어찌… 어찌 내 도술이…
Star,"너구리, 너구리!! 화분 내놓으라고!!"
Racoon,…
Racoon,화분 말이냐? 이건 벌로 가져온 것이다.
Star,정말 중요한 화분이야.
Star,우리 주인님이 아끼는 화분이라고.
Star,사라진 것을 알면 무슨 일이 생길지 몰라.
Racoon,그건 내 알바 아냐! 이건 벌이라고. 벌!
Star,벌은 무슨 벌! 네놈이 도둑놈이구만! 내놔!
Star,도사가 도둑질이나 하려 하고!
Racoon,도.. 도둑놈?
Racoon,후… 알겠어. 그럼 대결을 해서 정하는 건 어때?
Star,대결??
Racoon,그래. 야바위 대결을 하자.
Racoon,대결을 해서 승자가 화분을 갖는 것으로!
Star,야바위…!?
Racoon,너희가 이기면 화분을 순순히 돌려주겠어. 어때?
Star,만약 승부에 응하지 않겠다면?
Racoon,나도 많이 참았다… 그럼 바로 화분을 깨버리겠어.
Coco,!
Star,하자! 우리도 야바위 좋아해!
Coco,Mung
null,35
